Comments,Ti,Zr,Lu,Hf,Hg,Pb,Th,U
FRI_zrf_5954,780,73300000,10020,9710000,100,24171,17260,118082
FRI_zrf_6024,538,75700000,45000,7810000,108,10911.3,21700,66393
FRI_zrf_6052,350,61400000,104900,8360000,75,53073,64100,336450
FRI_zrf_6061,446,71500000,38300,7230000,104,11683,32100,71722
FRI_zrf_6081,528,72100000,6340,9270000,111,169886.7,242100,1178340
FRI_zrf_6202,302,73400000,44800,7970000,82,12724.5,19100,86595
FRI_zrf_6235,340,70800000,162300,7400000,78,86434,170100,571150
FRI_zrf_6236,1090,85300000,15880,11930000,76,276198,236000,1570340
FRI_zrf_6346,526,70500000,26100,7340000,89,24640.8,69600,160143
FRI_zrf_6449,429,60500000,58200,7610000,88,55963,32000,327370
FRI_zrf_6579,1480,76500000,78400,9270000,102,49097,77300,362390
FRI_zrf_6713,520,72100000,114100,9680000,88,203757,132400,1274140
FRI_zrf_6754,1020,76500000,216000,9510000,105,143590.9,281400,664750
FRI_zrf_6774,970,78200000,191700,11090000,60,819088,668000,5851240
FRI_zrf_6802,400,73500000,222400,7140000,107,43899.4,93900,277444
FRI_zrf_6823,530,73000000,7180,7800000,104,9471.6,12940,67371
FRI_zrf_6829,124,78400000,298000,9120000,79,13034.5,166000,340540
FRI_zrf_6867,461,80500000,178000,11840000,122,362156,293000,2507010
FRI_zrf_6892,318,72100000,223500,10020000,77,195888.9,241000,1349300
FRI_zrf_6922,650,81900000,274000,9390000,64,101836,140400,486550
FRI_zrf_7041,1480,70700000,76700,9580000,96,19266.6,37800,126188
FRI_zrf_7069,1570,85400000,442000,11510000,96,151713,252000,959950
FRI_zrf_7087,990,74900000,101500,10390000,71,12419.6,8660,82881
FRI_zrf_7094,850,70800000,49400,8980000,76,43899,62400,282090
FRI_zrf_7284,1010,81500000,14900,5290000,78,12029,27300,84575
FRI_zrf_7294,800,71500000,35500,5730000,83,2967.3,2480,17832
FRI_zrf_6494,530,79200000,553000,12640000,100,352883,87100,2374280
FUN_zrf_3086,130,57100000,70200,7570000,88,228686,404000,489570
FUN_zrf_3141,1950,65300000,493000,18900000,143,252692,270000,5920100
FUN_zrf_3568,42000,59000000,47100,6800000,104,171287,246000,1352750
FUN_zrf_4136,660,59400000,95600,5970000,67,7683,237800,262050
FUN_zrf_4307,990,78500000,110500,9950000,106,28936.2,63000,176290
GAT_zrf_4640,221,76100000,324000,10150000,89,297772,288000,1896260
GAT_zrf_5004,370,71900000,122000,8510000,87,65463.8,256000,406899
GAT_zrf_5188,426,69600000,123900,8270000,92,18393.7,58200,109800
GAT_zrf_5194,1370,66000000,84700,7670000,80,36122.6,69000,223540
GAT_zrf_5227,240,65200000,101600,8860000,106,3329.9,57500,112593
GAT_zrf_5335,460,71000000,104500,8340000,69,49826.1,84100,305220
GAT_zrf_5442,2900,73900000,92700,9790000,78,105069,78500,647570
GAT_zrf_5641,342,67000000,95600,7880000,91,58982.2,103700,360270
GAT_zrf_5729,320,77000000,242100,8240000,88,86451,122100,426970
GAT_zrf_5799,660,76900000,100800,8930000,100,3288,94000,113827
GUC_zrf_7308,239,67300000,101300,8310000,78,18167,221500,435210
GUC_zrf_7569,228,73800000,97100,9180000,65,157591.8,225300,996260
GUC_zrf_7679,216,64000000,226000,7030000,81,44341.8,1740000,1037400
GUC_zrf_7816,233,69000000,122200,7590000,102,28056,1030000,709990
GUC_zrf_8053,170,68200000,200000,7970000,48,4365.1,157200,367670
GUC_zrf_8209,680,65300000,111400,6770000,78,1492.8,31200,33922
GUC_zrf_8682,100,58400000,121200,6860000,52,13779,252000,329460
GUC_zrf_8902,1620,62900000,168500,7250000,55,95773.5,130600,616520
JER_zrf_12140,455,67900000,74200,10310000,71,296386.7,293000,1852850
JER_zrf_12141,298,70400000,167700,7540000,119,103263,194000,532780
JER_zrf_12146,1250,54800000,480000,7210000,105,387143,1185000,4893600
JER_zrf_12165,173,68000000,169000,7820000,71,7296.9,143200,276060
JER_zrf_12201,560,70600000,112300,8590000,97,8728.5,45200,52668
