Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
AGIvf_59,229.4,8.9,689,43.7,713,96.9,585,108.8,279,32.2,173,11.866,15.7,7.95,120600,523,2430,425,2420,255.6,3030,21.99
AGIvf_60,612,0.395,328,51.5,337,45.9,277,53.1,139.3,18.27,108.3,18.46,32,12.81,130800,355,1344,215,1207,365.7,1468,15.31
AGIvf_61,521,1.44,1234,60.6,988,130.1,759,136.9,359,43.67,235.1,56.31,112,15.7,124100,5092,12810,1609,6766,316.9,3884,28.93
AGIvf_62,1075,1.35,143.7,11.87,124,15.44,90.9,18.38,53,6.73,43.2,19.23,41.5,17.48,113200,1624,2590,234.9,871,150.2,514,6.76
AGIvf_63,528,0.75,345,19.04,367,49.9,322,64.3,179.4,23.28,138.7,13.99,26.1,19.79,115700,586,1827,271,1380,217,1830,20.4
AGIvf_64,643,0.43,210.3,17.24,216.5,28.3,166.2,31.9,84.4,9.7,53.7,17.98,8.81,10.3,132300,507,1329,179.7,919,357,844,7.63
AGIvf_65,445,0.234,451,45.1,399,51.5,308,55.6,145.1,19.2,107.8,23.28,6.14,2.695,125400,1224,3470,455,2030,307,1582,13.86
AGIvf_66,1188,0.71,336.5,33.9,479.1,81.1,572,115.4,326.5,43.66,269.2,24.56,11.6,14.94,114900,136.7,556,114.1,777,228.7,3148,37.55
AGIvf_67,1034,5.9,622,57.3,545,70.7,422.9,76.3,197.7,25.03,140.5,29.7,37.1,10.46,103300,2189,5530,688,3029,339.7,2065,18.4
AGIvf_68,789,0.83,777,51.3,696,95.3,580.4,106.6,280.6,35.05,205.4,27.92,7.9,3.353,115300,2420,6270,828,3690,254.8,2886,26.5
BADvf_1,434.2,2.64,126.2,13.84,125.3,16.07,94.4,18.57,49.2,5.99,33.3,9.73,6.7,1.187,63600,283.9,770,112.8,566.6,377.3,507,4.46
BADvf_2,1524,7.8,305,15.93,293.9,42.9,276.7,54.8,155.7,20.66,122.1,10.35,22.2,7.4,70600,552,1720,247,1266,284,1558,14.92
BADvf_3,899,2.27,530,43.3,448,57.1,321,58.8,148,19.1,116.4,47.07,289,138,69900,1390,4000,533,2530,219.3,1660,15.7
BADvf_4,567,0.52,268.2,13.77,224.9,28.33,162.4,30.93,83.1,11.52,76.2,18.39,17.1,9.75,55940,588,1867,263.5,1264,145.1,937,11.52
BADvf_5,1340,0.54,401,24.15,372,51.8,323,66,192,27.8,165.7,11.07,36.3,21.5,77400,1440,3830,479,2070,141.2,2120,23.6
BADvf_6,533,110,225,19.1,224,31.6,193,38.4,107,14.8,92.2,15.14,11,12.4,62600,196,829,147.9,830,287.5,1056,13.2
BADvf_7,1200,0.099,118.5,22.75,144.2,22.43,154.1,32.2,94.1,12.2,72.8,15.81,13.3,5.25,75300,135.4,440,70.1,379,282.9,893,10.81
BADvf_8,1379,0.362,52,13.9,44.4,5.16,31.5,6.69,21,3,21.86,12.92,50.2,22.06,77200,1781,2018,141.3,439,236.8,220.6,4.33
BADvf_9,835,0.74,177.4,33.41,168.2,22.59,134.1,26.35,70.7,9.16,56.8,17.78,27.2,7.21,74000,279.9,897,138.1,739,314,717,7.68
BADvf_10,791,0.89,348,19.76,342.3,44.7,268.4,51.7,143.9,19.79,123.7,28.93,28.1,17,72700,556,1843,272.3,1368,163.7,1563,18.2
BADvf_11,1510,1.43,271.2,18.97,238.1,30.37,178.3,34.26,94.6,12.68,80.2,29.81,30.27,17.6,63200,817,2337,301.1,1360,139.7,1053,11.72
BADvf_12,524,0.688,379,10.24,314.4,39,221.9,40.6,104.5,12.68,70.7,13.29,23.58,18.5,76600,1434,3760,476,2090,314.4,1123,9.21
BADvf_13,523.3,1.19,410.1,8.01,331.4,42.7,242.3,43.2,111,13.17,69.4,11.85,17.19,5.3,68200,1549,4000,499.6,2153,358.2,1212,8.53
BADvf_14,614,1.22,423,24.8,380,50.4,277,50.5,138.9,18.36,115.5,18.8,29.9,12.43,76600,560,1979,303,1627,157.7,1574,15.29
BADvf_15,459,1.01,76.9,9.26,64.8,7.27,42.8,9.12,26.93,4.09,27.2,12.82,12.35,4.73,76200,1157,1899,164.8,575,298.7,281.3,4.89
BADvf_16,821,0.459,266,8.75,230.7,28.5,164.2,30,77.9,9.26,49.9,12.64,16.09,8.56,80300,579,1855,261,1318,385,806,6.78
BADvf_17,1264,9.4,149.8,11.86,131.7,16.51,94.3,18.11,49.9,6.76,39.8,193.1,20.04,11.67,59500,381,1173,160.9,744,491,539,5.84
BADvf_18,441,0.8,311.1,28.1,250.7,30.6,169.6,30.5,76.2,9.18,49.3,25.41,31.4,10.52,71100,1001,2819,370,1675,224.9,798,6.43
BADvf_19,2350,10.4,186.8,13.75,182.6,25.38,157.2,31.6,86.4,10.87,65.1,40.2,21.98,14.76,56400,258,898,140.2,745,318,867,9.59
BADvf_20,1324,1.48,86.2,24.98,77.8,9.32,53.5,11.17,31.1,4.01,26.21,45.51,64.6,26.84,74500,940,1704,153.7,570,349.2,321.9,4.29
BADvf_21,537.3,1.63,267.2,28.51,215,25.04,141.5,25.16,63.8,7.5,40.6,11.79,17.35,6.09,64500,939,2573,326.3,1478,395.2,684,5.15
BADvf_22,9600,29.4,122,9.61,139,19.9,120,23.5,59.7,7.41,40.9,33.94,18.1,5.95,44800,194,556,79.8,417,233,616,6.05
BADvf_23,577,0.22,134.4,13.54,114.1,14.25,83.7,16.74,46.7,6.25,39.8,18.11,12.94,7.84,66000,513,1376,170.1,709,180.4,501,5.86
BADvf_24,624,19500,90.6,5.84,82.8,10.46,62.7,13.88,41.8,6.06,42.8,13.55,36.7,24.9,67500,289.4,817,102.8,478,149.9,385,7.68
BADvf_25,475,0.15,15.96,2.97,15.58,1.918,11.22,2.552,7.84,1.021,6.71,21.46,3.17,3.422,67500,90.6,187.1,20.12,86,236,80.5,1.4
BADvf_26,967,0.055,66.8,9.7,60.3,7.66,46.1,10.39,32.2,4.45,29.3,11.52,6.12,6.44,82400,234,635,83.2,357,124.5,345,5.3
BADvf_27,933,0.66,195.9,18.29,155.1,18.82,108.9,21.71,59.8,7.94,48.4,27.46,14.79,4.44,65500,985,2528,293,1185,159.7,650,7.31
BADvf_28,802,0.213,318.4,15.03,304.4,43.1,265.1,52.2,145.5,19.12,110.2,26.4,86.8,26.2,74300,670,2096,298.8,1437,369.1,1407,15.07
