Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
FRIf_4,150.3,0.021,11.86,2.33,19.02,2.67,18.75,4.31,13.13,1.763,9.97,2.203,0.189,1.447,192700,1.63,11.99,3.21,28.4,318.7,128.2,1.633
FRIf_5,293,0.043,4.13,0.96,5.92,0.744,4.92,1.199,3.86,0.654,4.63,9.19,0.312,0.289,193700,1.84,11.2,2.44,16.4,529,41.6,0.949
FRIf_6,402,0.67,20.03,5.59,20.8,2.62,16.01,3.48,10.24,1.433,9.35,7.024,0.686,1.959,192800,27.89,98.7,15.5,86.8,549,102.7,1.698
FRIf_7,223.5,0.094,18.69,4.65,16.29,1.808,9.32,1.713,4.17,0.472,2.75,3.835,3.07,2.457,193900,43.3,146.6,21.6,99.9,427,45.3,0.406
FRIf_8,260.5,0.033,25.7,9.47,43.9,6.18,40.4,8.71,23.64,2.84,16.76,7.511,0.286,3.453,199200,2.06,13.51,4.22,42.5,700,242.7,2.735
FRIf_9,287.1,0.034,2.23,0.742,5.77,0.841,5.31,1.004,2.4,0.271,1.99,0.4328684,0.158,0.1673,189400,0.291,1.25,0.319,3.38,249.2,27.01,0.329
FRIf_10,162.1,0.1,26.3,5.65,35.5,5.4,33.7,7.47,22.76,2.76,15.46,2.213,1.009,2.805,198200,12.12,57.8,11.33,74.8,327.8,224.3,2.331
FRIf_11,261.5,0.023,7.99,1.27,16.64,2.427,17.97,4.45,15.02,2.147,14.89,5.817,0.0018,0.875,196200,0.572,3.98,1.272,14.53,208,131.7,2.98
FRIf_12,255.3,0.01,13.31,9.11,42.3,7.1,42.3,7.69,18,2.118,11.06,14.099,0.13,8.53,196000,2.49,8.24,1.98,15.77,343.7,226.8,1.315
FRIf_13,325.8,1.04,48.2,13.14,49,5.63,32.6,6.57,18.41,2.36,14.77,8.231,5.61,3.04,190600,58.1,201.8,35.4,205.3,538.1,184.2,2.53
FRIf_14,501.2,1.5,687,35.2,473,44.3,176.3,21.88,34.62,2.83,10.99,25.41,9.26,31.19,199800,1321,4450,704,3600,202.6,558,1.343
FRIf_15,275.9,0.057,33.3,6.08,27.49,2.87,14.38,2.73,6.78,0.773,4.42,10.388,0.071,0.1059,197900,69.5,228.6,35.6,186.8,913,80.1,0.711
FRIf_16,234.3,0.01,14.48,3.9,21.5,2.86,16.74,2.962,6.95,0.824,4.35,4.693,0.117,0.221,196900,2.1,11.7,3.21,28.5,2300,92.8,0.556
FRIf_17,375.7,0.699,21,4.24,18.48,1.684,7.17,1.036,2.15,0.304,2.04,9.282,10,8.56,192000,38,97,14.5,80.7,336.9,28.4,0.375
FRIf_18,139,0.203,113.7,17.69,91.1,9.95,52.1,8.79,20.1,2.41,11.85,1.223881,2.55,2.896,204900,182.9,841,123.3,599,736,228,1.508
FRIf_19,662,0.096,1.43,0.216,3.11,0.628,4.85,1.161,4.11,0.605,4.39,5.658,0.011,0.074,194200,0.072,0.322,0.148,1.83,559,30,0.739
FRIf_20,180.2,0.118,4.23,0.853,5.84,0.717,4.15,0.902,2.49,0.311,1.99,9.63,0.0182,0.297,195900,1.34,4.61,1.24,9.2,853,25.1,0.338
FRIf_21,400,0.694,29.2,5.33,35.6,4.51,28.1,6.05,16.99,2.32,14.35,10.087,3.43,2.271,195200,5.96,36.86,10.25,84.9,634,162.9,2.655
FRIf_22,275.6,0.01,16.14,5.45,29.53,3.44,18.53,3.44,7.07,0.637,2.72,8.591,0.258,1.687,197400,11.26,25.66,4.88,37.3,355.4,78.2,0.323
FRIf_23,698,0.36,19.3,2.81,36.8,5.1,32.9,7.97,24.86,3.695,28.13,8.841,0.563,0.977,199200,3.34,18.71,4.68,40.1,315,197.5,5.68
FRIf_24,614,0.077,8.4,1.213,13.26,1.639,10.73,2.57,7.8,1.068,7.74,6.715,0.402,0.807,202100,3.79,18.65,3.74,29.1,248.4,63.2,1.598
FRIf_25,363.1,0.171,231,5.79,490,94.8,733,167.5,473,60.2,328.3,10.752,8.43,5.84,198800,23.2,140,38.9,356,292.8,4500,43.7
FRIvf_1,654,1.36,37,19.1,55.9,8.33,58.5,13.2,42.8,6.48,50,10.16,1.57,4.18,83900,9.6,50.8,12,89.4,482,361,10.14
FRIvf_2,370.1,0.045,2.77,0.754,4.86,1.026,8.9,2.46,8.05,1.281,7.88,25.48,0.011,0.0296,89300,2.1,4.17,1.04,6.61,1097,72.5,1.17
FRIvf_3,471,9.01,61.5,18.3,78.7,11.78,77,16.08,46.9,6.87,44.5,13.87,0.484,4.03,83300,17.3,96.2,23.5,160,546.9,460,6.83
FRIvf_4,503,0.59,25.3,7.84,35.8,5.23,32.4,6.94,19.81,2.53,16.82,12.03,0.104,1.82,84700,9.2,41.2,8.46,63,378.7,191.4,2.84
FRIvf_5,293.9,0.028,15.92,6.75,16.45,1.89,10.35,1.92,5.45,0.621,3.98,5.466,0.083,0.502,76900,55.4,130.5,17.11,83.7,395.3,61.1,0.766
FRIvf_6,499,1.6,163.9,36.1,150.3,20.25,119.5,23.2,63.2,8.47,52,20.64,34.1,43.9,78900,108.3,497,102,631,333,645,8.23
FRIvf_7,420,0.047,76.4,23.53,76.8,7.94,36.2,5.43,13.62,1.97,13.2,3.475,0.238,0.119,93200,86,276,46.1,276,617,146.7,1.85
FRIvf_8,678,0.46,7.67,0.986,12.83,1.924,14.63,3.38,11.95,2.13,15.12,24.21,2.56,0.945,78600,0.474,3.84,1.27,14.31,357,95.5,2.836
FRIvf_9,215.6,0.44,15.6,4.15,20.33,2.84,16.64,3.27,8.95,1.053,6.59,13.72,3.06,1.785,85600,8.87,37.46,7.04,48.1,425,92.1,1.085
FRIvf_10,187.3,1.1,237,34.7,179.5,20.61,111.8,18.85,45.1,5.18,28.48,11.23,17.9,5.72,83100,379,1500,237,1168,899,514.8,3.54
FRIvf_11,342.3,0.219,35,9.96,34.4,4.26,23.98,4.32,11.52,1.458,8.9,5.826,0.48,0.824,81000,11.7,44.6,10.51,88.8,635.9,122.4,1.324
FRIvf_12,514,0.107,11.64,2.2,16.1,2.14,12.51,2.45,7.18,0.889,5.65,6.465,0.022,0.604,87400,1.83,7.37,2.26,23.7,625,70.8,0.954
FRIvf_13,291,0.039,10.71,1.745,20.73,2.88,19.34,3.75,10.82,1.334,8.46,5.952,0.011,0.1408,80700,0.273,2.08,0.93,13.7,487.5,106.3,1.379
FRIvf_14,434,0.03,3.94,1.47,10.5,1.82,15.73,3.76,12.61,1.81,11.8,5.992,7,0.169,92400,0.075,0.66,0.354,4.46,358,103.8,2.062
FRIvf_15,270,0.147,27.2,5.16,33.1,4.43,24.8,4.47,11.37,1.318,7.12,19.14,0.015,2.72,77400,4.37,23.4,6.56,53.2,392,129.1,1.042
FRIvf_16,274.6,0.037,1.12,0.334,1.91,0.363,2.73,0.758,2.25,0.315,2.52,9.75,0.146,0.391,82800,0.456,0.77,0.348,1.98,492.7,19.8,0.393
FRIvf_17,609,0.57,9.04,1.131,17.87,2.69,19,4.58,13.56,1.91,11.65,8.501,4.13,2.152,89900,1.17,4.93,1.63,15.8,523,110.8,2.237
FRIvf_18,498.5,0.461,81.3,15.81,76,8.16,45.9,9.09,24.71,3.04,17.76,18.31,0.713,0.392,86100,87.3,367,63.8,372,1098,270.3,3.07
FRIvf_19,453.8,0.336,58.1,22.09,87,14.69,112.1,25.62,78.7,10.96,66,12.382,3.77,0.776,87400,20.6,95.9,21.3,151.6,596,701,9.66
FRIvf_20,363,0.197,82.6,19.4,89.4,11.54,65,11.79,31.1,3.77,22.1,5.62,3.97,4.27,85800,24.5,125.7,30.2,245,216,334,3.18
FRIvf_21,387.5,0.153,18.68,0.3,31.08,4.26,26.45,5.53,14.31,1.704,10.33,9.167,0.011,0.409,83400,0.246,2.45,1.52,24.4,205.8,142.4,1.759
FRIvf_22,535,0.535,17.2,6.71,28.2,4.65,32.1,7.25,21.6,3.19,20.9,6.236,2.37,3.41,85700,6.98,26,5.4,38.4,496,211,3.65
FRIvf_23,157.9,0.172,14.3,2.84,27.5,4.57,35.3,8.74,27.9,3.91,24.7,1.351,0.521,2.81,88200,2.5,14.81,3.69,29.1,311.4,273,3.74
FRIvf_24,386.9,0.176,14.32,4.24,17.43,2.243,14.2,3.25,9.26,1.24,8.39,9.762,0.448,0.26,79700,32.9,88.2,12.31,64.7,313.6,89,1.713
FRIvf_25,1193,1.95,153.8,24.1,214.5,32.24,214.3,45.9,149,22.21,153,19.89,5.29,7.72,68200,22.3,134.5,35.8,313,205.6,1375,24.69
FRIvf_26,252.4,0.444,46.4,12.31,47.2,5.55,31,5.64,13.97,1.63,9.54,7.646,0.195,0.182,79400,8.54,57,15.9,130.7,1038,144.5,1.403
FRIvf_27,580,1.16,11.84,0.945,23.4,3.58,25.2,5.75,17.4,2.24,14.6,7.53,5.22,2.35,87100,0.845,4.46,1.52,19.4,546,126.9,2.33
FRIvf_28,305,0.64,15.97,3.67,22.49,3.19,18.49,3.64,8.77,1.02,5.73,69.6,0.074,1.227,73020,7,24.6,4.74,34.2,1050,103.7,0.852
FRIvf_29,315,0.067,42.9,4.88,49.3,5.85,35.4,7.76,21.94,2.94,18.3,7.62,1,2.489,77200,30.97,143.4,26.74,172.3,357.1,217.6,2.95
FUNf_1,570,0.456,91.5,20.22,94.3,12.7,81.1,16.73,45.7,6.31,39.03,6.01,11.5,11.4,198600,504.6,1004,102.1,448,169.5,473.3,5.69
FUNf_2,276.9,730,164.2,28.5,161.3,19.25,112.2,20.41,50.2,5.9,31,4.533,14.8,12.6,195500,620,1508,182,824,166.4,569,4.27
FUNf_3,855,1.01,266.2,22.04,230.6,28.24,157.8,28.32,68.1,7.53,40.78,12.56,33.14,2.096,190100,1051,2575,311.3,1409,674.6,740,5.1
FUNf_4,3330,0.089,288.9,8.46,362.7,63.7,407,76.8,197.9,26.8,164.3,38.73,3.51,47.8,180500,145,593,110.4,663,128.6,1951,22.78
FUNf_5,723,0.32,218,11.75,183.1,24.06,141.4,27.14,73.2,9,51.5,7.46,16.09,8.7,184900,942,2289,289.8,1193,275.6,753,7.28
FUNf_6,442.5,0.482,389.7,48.68,385.3,51.69,313,59.9,153.9,19.38,108.5,9.075,4.08,2.281,173500,760,2264,327.5,1666,263.5,1643,14.62
FUNf_7,6100,4.37,469,41.9,455,56,331,62,162.1,19.91,108.2,13.12,24.02,7.35,181300,1509,3440,447,2186,434,1572,14.68
FUNf_8,609,1.56,401,74.5,402.5,54.6,332.5,67.3,186.6,25.99,166.6,10.575,101.1,31.86,203900,951,2739,353.7,1758,85.5,1882,25.33
FUNf_9,335.2,0.586,72.9,8.81,61,6.61,36.9,6.98,18.47,2.21,13.9,5.325,3.94,0.406,199800,987,1590,146.5,530,688,214.5,2.459
FUNf_10,846,0.043,40.6,5.53,48,5.09,21.51,2.92,6.95,1.022,6.53,3.917,0.197,8.29,201500,3.64,21.5,6.82,66.5,217.3,87.7,0.91
FUNf_11,400.1,0.477,530,42.2,460.3,61.7,366.4,67.8,178.1,22.84,127.8,16.58,7.87,2.859,187000,1758,4403,583,2588,274,1864,17.65
FUNvf_1,445,0.713,403,48,413,52.9,294,50.6,128.8,15.26,86.8,31.2,25.3,21,66700,242,1034,200.3,1252,236.4,1404,12.5
FUNvf_2,586,3.72,145.8,22.24,158.5,22.69,141.6,28.91,79.1,10.28,60.5,10.86,57.4,27.23,70400,458.3,1103,133.7,630,138.8,835,8.86
FUNvf_3,315.5,0.667,201.6,14.19,200.2,26.48,153.4,29.38,77.2,10.02,58,9.4,14.66,8.3,84900,365.4,1180,171.6,883,259.9,803,7.99
FUNvf_4,608,3.47,191.6,13.83,176.1,21.86,130.2,25.13,64.2,7.9,42.6,24.1,41,16.11,61640,606,1600,208.5,979,653,675,5.9
FUNvf_5,355,1.03,54.8,11.62,62.3,8.32,53.9,11.14,32.2,4.25,26.2,13.97,72.2,27.16,76000,260.9,503,55,239.4,184.3,326.3,4.29
FUNvf_6,817,5.7,209,26.3,233,32.9,200,40.4,107,12.8,73,16.66,19,22.3,79900,222,840,136,785,230,1127,9.3
FUNvf_7,194.3,5.7,73.6,15.3,73.1,9.56,56.9,10.72,27.9,3.54,20.5,5.94,4.18,6.29,82700,280,714,85.7,381,175.2,315,2.94
FUNvf_8,386,1.46,100.7,17.31,100,12.5,76.9,16.4,47.9,6.72,46.7,22.39,60.1,23.7,72200,1023,1566,148,584,217.7,474,8.68
FUNvf_9,243,0.217,193,35.5,149.6,17.21,92.3,17,42.8,5.43,32.1,11.51,34.3,7.4,73600,1420,2900,299,1220,277,468,5.01
FUNvf_10,859,0.039,46.5,9.1,127,27.35,234.7,57.6,178.4,27.16,193,14.88,2.16,6.62,68500,4.78,16.74,4,37.6,291.5,1679,27.54
FUNvf_11,185.9,0.594,110.6,21.23,99.8,11.9,67,12.4,31.71,3.91,23.17,13.04,18.52,9.09,81700,268,727,103,490,285.7,355,3.29
FUNvf_12,608,0.591,205.9,20.21,153,18.37,104.9,18.83,47.4,5.59,30.42,12.487,12.04,4.26,79500,967,2362,279.1,1206,588,507,3.98
FUNvf_13,710,0.182,73,5.6,96,16.4,116,23,66.3,9.9,66.4,20.62,1.13,6,67000,44.9,162,29.5,182,199.8,649,9.3
FUNvf_14,320,0.53,102.4,19.04,109.4,13.42,78.8,15.47,40.3,5.08,29.19,11.55,5.68,4.39,57690,391.3,912,115.9,512.2,161,443.6,4.24
FUNvf_15,215.6,0.167,55.2,9,55.7,6.38,35,6.6,16.93,2.052,11.52,12.8,3.03,0.738,70900,171.1,391,52.3,261.8,458.6,186.6,1.696
FUNvf_16,464,0.408,98.1,15.06,107.9,14.41,87.3,17.53,47,5.58,32.7,41.25,6.55,9.67,73300,201.5,527,75.4,390,269.6,493,4.72
FUNvf_17,459,0.52,599,38.3,533,73.8,446,80.4,205.1,25.26,136.6,16.64,1.78,0.84,65000,1483,4107,550,2658,258,2178,17.09
FUNvf_18,444,0.99,273.4,25.47,259.4,33.43,191.6,35.2,90.7,10.53,59.3,21.14,20.74,17.85,74800,571,1749,240.7,1176,177.9,971,8
FUNvf_19,448,0.76,214.1,16.74,228.4,32.78,204.6,39.73,109.5,13.74,81.2,14.31,12.59,22.2,61500,165.8,630,122.6,747,238.8,1073,11.57
FUNvf_20,797,2.66,222,21.64,223.3,29.03,173,33.33,84.3,9.85,53.8,33.14,4.89,1.72,60700,371,1108,173,922,206.9,887,7.1
FUNvf_21,290.9,0.236,113,18.23,84.6,9.52,51.7,9.5,26.2,3.32,20.37,4.989,10.27,0.829,79400,722,1809,195.5,790,680,294,3.36
FUNvf_22,248.3,0.334,347.1,51.1,367,54.6,352,72.6,219,29.5,200,4.465,13.73,5.36,78100,405,1539,245.7,1297,130.7,2061,31.9
FUNvf_23,1490,0.235,166,9.52,293.8,62.8,483,105.3,340.8,57.2,412.4,14.91,5.37,7.09,76700,23.53,103.9,24.8,197.7,190.2,3320,59.9
FUNvf_24,419.3,0.278,203.1,17.3,244.1,34.79,220.9,43.7,115.7,13.57,74.9,8.246,18.68,7.07,73100,179.9,681,120,698,216.8,1211,9.4
FUNvf_25,142,1.1,86.7,8.42,85.7,11.64,69.5,13.85,35.83,4.2,23.07,8.19,13.6,2.41,72800,219,601,80.6,398,183.3,367,3.1
FUNvf_26,691,2.34,99.3,12.35,110.8,13.4,89.6,19,55.9,7.8,48.1,29.52,10.65,12.75,75300,548,1050,115.9,508,456,551,8.08
FUNvf_27,340,0.78,71.8,18.08,66.1,9.19,53.9,10.63,29.6,3.8,24.85,21.79,48.1,12.65,65800,345,752,86.9,357.7,275.1,324.1,3.69
FUNvf_28,449,2.26,222,27.3,226,32.8,208,42.5,126.1,17.7,117,26.29,30.7,63,60100,249.5,874,150.6,819,282.1,1221,18.02
FUNvf_29,944,1.14,62.6,15.3,55.1,6.27,38.5,8.29,26.1,3.99,32.8,16.75,35.1,8.7,67700,2860,2800,166,503,155.1,277,7.4
FUNvf_30,279.2,5.4,511,76.3,343,41.3,246.8,47.7,130.9,18.49,111.6,69.5,110.7,11.17,75400,2120,5590,743,3130,2105,1382,15.47
FUNvf_31,1281,5.5,217,13.45,187.6,24.8,144.8,27.8,73.2,8.95,53.3,55.9,24.2,12.18,51000,872,2245,274.5,1208,944,762,7.1
FUNvf_32,1160,55,142.5,31.6,114,15.12,92.7,18.68,56.1,7.78,52.6,25.28,49.3,22.09,55200,735,1768,208.5,838,307.1,528,8.39
FUNvf_33,1138,2.12,66.9,15.81,67,7.78,46.6,9.23,23.87,2.94,18.4,62.02,4.91,7.17,65700,90.4,302,49.4,282,663,264.2,2.85
FUNvf_34,962,7.1,156.9,15.16,131.1,16.56,96.3,18.61,51.6,6.96,40.3,24.24,25.04,10.32,65100,693,1711,205.1,890,383.8,518,5.8
FUNvf_35,704,0.68,202.9,28.7,336,56.7,412,86.3,258,36,235.7,9.758,9.18,9.4,75400,55.9,198,41.1,324,270,2400,34.3
FUNvf_36,1180,5.8,209.8,30.5,161.4,19.17,107.4,21.49,58.5,7.62,44.8,38.66,170.7,85.4,53600,1164,2577,299.5,1195,385,602,6.33
FUNvf_37,652,0.64,169.3,33.2,147.9,18.66,113.2,21.72,61.2,8.31,53.8,18.22,61.9,61.6,71000,559,1650,207,936,268,605,8.76
FUNvf_38,428,5.7,312.9,17.39,288.6,37.71,224.5,43.87,115.4,14.06,77.6,15.02,15.68,24.35,66580,509,1805,274.6,1407,367.8,1180,10.3
FUNvf_39,432,0.64,342.7,32.2,355.1,47.2,274.4,51,130,16.18,91.8,19.65,13.78,12.04,73400,328,1211,205.5,1188,257.7,1403,12.82
FUNvf_40,2012,1.34,449,28.78,457,69.7,446,88.4,246.9,34.43,214.5,18.98,15.73,4.6,73100,559,2087,330,1707,157.2,2755,29.94
FUNvf_41,759,1.9,598,33.3,641,87.2,554,104.8,273.4,37.05,213,9.913,58.3,32.81,75700,778,2670,412,2212,162.1,2760,28.73
FUNvf_42,322.6,1.33,365,51.1,339.2,46.1,277.9,52.3,137.9,18.16,110,7.009,14.62,6.03,77900,613,1920,245,1328,289,1475,14.88
FUNvf_43,439,0.397,517,52.9,483,69.3,411,80.9,223.6,28.66,173.3,11.5,1.317,0.789,76000,761,2690,414,2126,245.1,2234,23.9
FUNvf_44,427,1.36,491.6,87.1,490.4,73.6,460.4,91.2,257.4,35.84,223.8,31.3,27.61,18.41,64650,1084,2770,390,1944,291,2544,31.59
FUNvf_45,317.2,0.108,617,48.3,560,78,461,87.1,233,29.91,173.7,10,4.21,1.963,68900,1390,4240,581,2767,233.7,2475,23.82
FUNvf_46,393,0.367,570,49.2,536,70.2,437,80,216.1,28.08,161.6,9.797,7.93,2.319,72600,1114,3450,508,2388,278.8,2266,22.09
FUNvf_47,3270,0.257,175.9,24.58,169.5,24.04,149.8,28.64,73.9,9.09,50.6,18.87,3.3,4.85,69200,278.5,884,132,670,432,746,6.67
FUNvf_48,349,0.17,256,31.5,182.2,20.71,106.2,18.49,43.8,5.42,27.43,9,2.22,1.024,69400,789,2380,321,1433,1117,509,3.72
FUNvf_49,871,0.67,167.2,25.3,157.3,18.62,103.5,20.82,56.1,6.86,41.2,50.4,7.26,3.43,56420,639,1571,192.1,883,243.8,622,6.6
FUNvf_50,548,1.09,618,56.2,582,83.4,542,111.3,333,49.8,325,19.27,87.7,76,74300,904,3485,559,2709,205.2,3490,47.3
FUNvf_51,547,2.95,668.4,44.5,574.3,77.5,463.2,86.3,227.5,28.7,165.7,7.054,11.57,4.125,69400,1943,5338,718,3199,186.8,2362,21.75
FUNvf_52,1606,0.514,304,17.35,536,102.3,732,144.7,410.4,57.8,361.9,15.27,11,11.45,65360,73.7,304,66.9,500,172.1,4050,47.97
FUNvf_53,2228,0.209,384,23.58,447,76.5,529,109.8,312.3,44.1,280.8,15.44,5.95,22.93,70700,251,1056,186.3,1043,213,3010,38.5
GATf_1,248.7,0.16,88.1,15.4,90.8,11.66,72,14.3,36.5,4.5,24.04,4.526,2.7,4.35,322400,461,991,109.1,456,300.1,427,3.234
GATf_2,372,0.245,38.8,6.87,39,4.6,25.82,5.28,14.01,1.742,11.11,21,14.59,10.77,299300,401,590,58.6,233.8,630,153.8,1.953
GATf_3,994,0.555,143.6,13.74,125.3,15.4,89.2,17.78,49.6,6.65,41,9.47,5.95,1.426,309300,1263,2528,247.4,966,276,508,6.24
GATf_4,301.4,0.616,142,24.37,110.8,12.27,65.2,10.95,25.86,3.26,17.27,13.01,8.16,2.534,307100,671,1526,183.5,823,869,284.6,2.187
GATf_5,337,0.489,160.4,34.4,119.9,13.32,67.2,11.02,25.38,2.77,14.38,9.88,10.35,4.68,303000,808,1815,217.5,943,869,299,1.916
GATf_6,410,0.395,184.8,25.44,174.8,21.65,122.4,22.76,55.9,6.59,35.6,26.16,26.9,12.46,305200,754,1692,209,960,201.2,636,5.08
GATf_7,171.7,0.13,112.3,17.6,79.6,8.44,43.2,7.4,18.04,2.05,11.09,4.656,1.58,1.141,316900,558,1224,159.8,687,626,204.7,1.605
GATf_8,551,1.46,211.9,33.44,162.8,18.69,105.3,19.26,48.9,6.33,36.9,33.6,33.6,19.05,312300,1262,2766,315.8,1309,367.4,533,5.29
GATf_9,527,0.396,104.6,17.29,84.1,9.89,60,11.23,30.47,3.85,23.16,16.46,11.47,6.72,309100,557,1323,150.2,601,352.8,315.1,3.39
GATf_10,393.6,0.384,234.7,36.5,181.3,22.09,124.6,23.16,60.9,7.76,44.7,19.42,14.37,19.95,322800,1065,2856,332.9,1424,345.6,662,5.96
GATf_11,107.6,0.162,234.2,25.98,170.9,20.44,115.8,20.74,53.7,7.06,39.1,19.009,15.22,26,297700,1024,2571,315.1,1339,277.8,591,5
GATf_12,604,1.37,664,60.5,632,85,505,95.2,247.9,31.2,173.9,16.64,45,17.02,324400,1553,4370,614,2938,170.9,2551,23.14
GATf_13,346.5,0.28,322.2,56.1,253.5,28.64,147.7,23.56,54.1,6,33,12.98,21.93,10.99,316800,1096,2676,369,1716,694,607,4.09
GATf_14,503,0.058,154.4,5.34,128.6,15.58,89.7,17.17,44,5.47,30.5,6.532,0.07,0.161,318600,481,1317,174.5,809,323.4,503,4.32
GATf_15,365.6,0.68,381.2,60.8,329.6,41.17,224.3,36.51,82.4,9.47,48.6,7.559,1.53,4.72,322200,837,2465,362,1732,580,947,5.68
GATf_16,527,13.32,166.6,36.3,155.3,18.05,100.1,17.85,42.7,4.62,26.1,2.351,6.5,1.504,322000,449,1227,166.7,804,723,472,3.16
GATf_17,388,1.1,805,46.2,957,148,948,188,518,66.3,385,16.68,8.97,19.2,323000,187.6,1191,280,2050,170.3,5610,47.8
GATf_18,447,0.27,470,57.8,455,59.5,367,67.2,179.1,22.98,133.5,17.89,1.37,3.451,330300,1172,2989,444,2205,198.2,1864,18.43
GATf_19,429,0.93,585,72.5,379,39.6,203.9,34.7,83.1,9.85,54.5,21.76,25.2,18.89,310000,2330,6420,849,3763,212.5,921,7.57
GATf_20,477,0.345,468,36.7,411,55.1,333.3,61.4,163.7,21.38,122.4,13.99,14.96,2.71,300100,1953,4500,578,2470,234.8,1676,16.9
GATf_21,263.5,0.23,349,51,319,39.7,206,30.3,61.3,5.83,24.3,16.71,15,4.45,301000,1040,2400,338,1520,300,834,2.49
GATf_22,564,0.47,913,53.5,835,113.9,699,128.7,331.4,40.47,228.9,12.031,5.44,8.72,339100,1530,5240,817,4123,170.9,3589,29.61
GATf_23,416,0.395,423,58.9,341,43,245.2,45.6,119.3,15.73,92.5,12.825,21.68,9.94,337600,859,2743,417,1950,198.7,1221,12.95
GATvf_1,14900,13.3,432.3,50.8,359.1,46.4,267.2,51.8,139.6,18.43,108.8,43.1,2.6,3.89,62400,484,1942,340.4,1866,238.6,1423,16.2
GATvf_2,286.7,0.075,275,33.5,303.5,43.8,282.7,57.3,158.9,20.66,128.2,14.66,2.95,6.45,72200,695,1623,251.3,1244,108.5,1523,18.44
GATvf_3,799,8.7,309.5,15.43,263.9,32.54,188,35.71,92.2,10.85,61.8,9.98,10.22,4.75,64600,1410,3483,408,1704,260,995,7.81
GATvf_4,508,0.132,457,19.67,462,67.1,435,91.6,263.7,34.4,203.4,10.91,4.37,2.8,70600,458,1993,337.9,1798,306.8,2554,26.73
GATvf_5,999,0.863,146.7,10.6,123.4,15.97,101.9,22.49,70.2,10.51,77.8,609,23.64,6.44,63480,1625,3043,300.4,1036,161.7,757,13.48
GATvf_6,644,11.94,176.3,34.09,154.8,18.44,103.3,18.61,46,5.38,29.39,6.4,9.03,2.409,70800,761,1833,218.7,942,710,487,3.78
GATvf_7,970,0.35,901,37.6,704,85.2,471,84.1,206.1,24.49,131.1,29.06,51.4,10.31,62300,1907,6510,947,4458,308.5,2291,15.84
GATvf_8,822,1.21,148.8,11.49,141.1,17.89,105.3,19.98,51.7,5.87,31.8,30.77,0.84,0.615,53000,465,1251,162.3,747,310.4,565,3.78
GATvf_9,2810,70,164.4,24.5,145.7,20.2,122.8,23.8,61.8,7.9,41,19.48,10.49,1.45,41900,573,1422,194,837,425,628,5.59
GATvf_10,591,3.66,208,25.3,148.1,15.7,79.6,15.72,44.6,6.76,46.7,39.03,6.63,29.2,51800,439,1211,182,957,750,516,7.65
GATvf_11,537,0.78,130.7,16.02,132.5,17.46,108.7,23.03,65.5,9.01,58.8,10.33,12.96,4.41,78100,374.3,969,121.7,597,401,628,9.55
GATvf_12,359,3.39,80.1,16.13,69.3,8.98,54.3,11.15,31.84,4.33,27.48,13.958,9.12,5.65,56000,537,1107,119.9,474.2,171.5,320.9,4.29
GATvf_13,473,0.87,64.3,17.68,63.7,7.49,43.9,9.57,28.12,3.82,26.1,41.25,25,18.75,65300,449,912,96.8,401,391.4,273,4.85
GATvf_14,305,2.35,147,24.5,114.2,13.12,68.4,13.04,31.6,3.78,22.6,17.82,16.66,17.38,77300,676,1730,217,879,408,366,3.1
GATvf_15,1780,2.06,317.1,29.64,291.3,38.3,223.5,43.59,115.7,14.35,82.1,14.56,4.01,2.815,61310,593.5,2072,292.8,1433,415.4,1248,11.1
GATvf_16,327.7,0.29,376.7,15.87,344.1,46.17,279.9,53.8,144.7,17.5,99.6,21.93,0.83,1.373,58580,1562,3623,433.1,1901,195,1552,12.97
GATvf_17,632,0.58,562,40.3,495,72.1,464,92.3,251.7,32.1,182.3,33.99,26.8,14.9,63500,1221,4000,563,2678,264.2,2561,23.9
GATvf_18,6660,2.06,312,11.8,234,30.2,173,31.6,81,10.1,57.1,66,13.9,3.06,22400,630,2190,317,1480,126,860,7.02
GATvf_19,619,1.19,822,66.1,763,106.3,643,119.8,308.7,37.34,201.6,28.34,22.1,9.6,69100,1251,4524,700,3440,163.9,3188,24.85
GATvf_20,2850,3.27,618,15.6,477,63.6,363,70.2,195,26.57,156.7,79,47.5,6.05,58400,3120,7770,904,3620,709,2030,23.2
GATvf_21,2796,14.14,450,44.8,342,37.7,170.1,26.3,56,6.95,37.4,40.56,11.1,19.9,47100,508,1880,318,1737,211,707,5.06
GATvf_22,3550,97,191,25.6,195,21.4,102.4,15.45,34.8,3.56,20.8,115,1.56,1.146,48100,446,1218,166.8,798,234,461,2.64
GATvf_23,174.5,0.225,235,33.94,154.3,17.2,85,13.44,29.89,3.53,20.82,18.14,0.239,0.546,78700,649,2144,291.1,1304,728,358,2.47
GUCf_1,715,1.16,95.4,17.22,74.1,9.24,55.5,11.34,33.5,4.71,31.2,17.47,34.6,10.36,288000,359,1034,134.6,590,414,309,4.69
GUCf_2,527,0.512,391,19.37,363,47.3,282.1,52.3,133.4,15.75,85.3,6.551,10.21,5.51,331000,1246,3337,430,1855,44.2,1495,10.87
