Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
FRI_tivf_5347,9040,56.9,7000,77,46.4,164.1,0.8,4.59,0.85,7.4,3.16,2.69,5.11,1.22,10.45,2.55,8.94,1.58,11.99,2,2.87,241,13.36,0.0404,0.069
FRI_tivf_5354,5090,75.6,1822,260,58.5,67.2,48.4,194,35.3,206,56.2,18,55.2,7.98,52.3,10.36,27.1,3.79,24.4,3.71,5.35,26.6,4.243,0.233,1.081
FRI_tivf_5441,6840,89.5,5800,1162,157.9,516,178,1230,275,1760,554,150.7,451,56.8,287,44.5,98.7,11.15,62.1,7.93,9.82,113,14.08,1.04,3.59
FRI_tivf_5528,14300,29.53,7900,3260,143.9,445,334,1362,210.4,1012,342,63.9,397,76.3,552,114.6,327.7,48.1,323.2,41.1,7.94,230,10.18,24.1,11.81
FRI_tivf_5537,266000,890,306000,192,147,139,42.6,188,28.3,153,43,7,41,5.7,43,8.1,19.3,3.3,17.5,1.64,6.4,450,94.6,8.45,1.2
FRI_tivf_5607,6750,27.66,3290,202.4,48.9,299,7.54,43.4,10.05,61.6,19.4,9.97,24.3,3.73,28.5,6.69,23.4,3.89,29.7,5.05,3.3,12.3,5.353,0.426,0.953
FRI_tivf_5628,8110,34.9,5970,1410,110,478,29.9,187,46,282,142,52,183,33.5,226,47.7,147,21.4,138,17.5,8.28,16.9,4.659,3,8
FRI_tivf_5663,7220,39.2,2530,640,54.7,181,1.7,15.7,5.66,48.8,33.6,17.5,63.3,14.8,116,26.1,76.5,11.69,80.9,10.58,5.81,33.2,2.799,0.0278,0.769
FRI_tivf_5673,156000,141,500000,531,113,127,2.76,18,4.9,41,29,10.6,40,8.59,86,20.8,65,11.2,64.9,10.25,7.91,2170,25.7,0.155,0.57
FRI_tivf_5711,140000,1600,210000,290,55,345,81,210,30,89,23,47.7,44,7.9,59,13.4,29.8,6.1,47,9.1,4,7200,271,3.4,3.6
FRI_tivf_5751,14960,22.45,8640,309.4,338,944,53.5,232,37.1,180,45.4,37.6,37.6,6.64,43.1,9.86,30.4,5.52,43.3,6.74,30.4,770,19.16,76.4,32.3
FRI_tivf_5864,10900,112,6370,543,126.1,345.3,44.7,238.5,50.3,292.6,93.8,38.6,92.1,15.49,103.6,22.26,63.7,8.45,55.9,7.89,8.68,71,9.37,5.24,9.82
FRI_tivf_4159,17230,57.8,26000,42.6,128,17.06,27.1,57.9,5.16,21.3,3.06,1.14,3.67,0.67,5.5,1.34,4.94,0.8,7.6,1.23,4.11,300,10.57,0.094,0.245
FRI_tivf_5871,316000,7800,196000,914,1050,508,244,680,103,518,147,51.3,146.3,25.1,167,34.6,99.1,13.8,89.1,13.7,19.3,329,200.8,1.15,1.74
FRI_tivf_5910,42500,28.5,54000,586.9,92,113.4,41.7,214.9,42,245.2,73.4,35,89.3,13.83,103.5,21.67,64.8,9.57,67.8,11.31,8.05,308,9.2,0.109,0.463
FRI_tivf_5943,6480,40.3,6580,501,49.7,219,12.6,89,21,139,62,23.7,77.6,13.15,91.9,18.9,51.6,7.33,50.8,6.86,4.95,213,18.54,0.202,1.55
FRI_tivf_5992,11600,26.22,13800,2382,118.1,1003,68.8,636,178.9,1272,474,115.2,443,72.1,451.3,87.1,243.6,36.4,239.3,31.8,11.64,610,6.43,0.094,2.81
FRI_tivf_6037,7640,58.3,4420,639,117.5,900,135,522,78.4,392,96.1,44.9,93.6,15.31,99.8,20.2,63.4,9.89,70.3,9.84,6.82,8,5.307,3.16,7.83
FRI_tivf_6082,6340,36.6,3990,665,115.7,138,63.7,305,61.2,382,124.2,38.9,140.9,21,135.8,26.2,68.3,8.63,52.2,6.8,10.17,41.9,4.346,3.51,4.22
FRI_tivf_6084,7580,19.41,6790,1127,89.8,303,72.7,395,77.3,440,140.3,26.4,155.9,25.5,177.7,38.4,117,17.55,119.2,17.68,8.39,113,7.18,0.573,2.02
FRI_tivf_4594,9470,54.2,2467,1008,117.8,333,143,841,165,950,260,72.6,214,32.3,183,34.6,93.9,13,86.2,11.66,6.94,0.35,2.083,0.534,0.462
FRI_tivf_4715,16600,82,13700,13550,29.3,1970,24.5,148.6,33.9,220,164,148.1,526.1,148.4,1515,410,1521,256.2,1910,315,2.03,162,34.14,0.975,23.8
FRI_tivf_4731,6360,100,6110,1116,167.7,334.2,310,1750,320,1773,453,89,359,46.3,248,42.1,104.7,13.33,82.7,10.58,10.73,70,9.297,5.02,5.45
FRI_tivf_4172,8690,23.82,7930,1773,233.1,1850,297,1427,224.3,1088,285,177.3,232.8,39,265.3,55.6,172.5,31.2,235.4,36.7,18.89,4.19,20.416,18.22,162.4
FRI_tivf_4893,9060,40.2,5990,66.1,84.9,152,4.5,29.5,7.5,47,13.4,6.7,13.7,1.95,11.2,2.46,6.73,0.91,6.75,1.17,4.73,29.5,4.932,0.36,0.37
FRI_tivf_4895,16740,39,7690,618,84.6,502,31,174,36,256,93,24.5,99,17,114.2,23.3,66.2,9.44,61.9,8.18,7.57,21.5,4.99,0.57,1.616
FRI_tivf_4989,4210,11.81,2700,2.32,1.23,37.8,0.113,0.332,0.072,0.3,0.017,0.111,0.112,0.02,0.26,0.083,0.3,0.066,0.54,0.066,0.073,284,1.904,0.0094,0.0196
FRI_tivf_5066,8990,21.79,7000,3880,221.4,1281,298,1514,272,1532,501,142.2,584,102.5,707,144.2,421,63,436,61.6,14.43,225,11.13,12.03,25.8
FRI_tivf_5075,12100,79,22400,73.6,146.9,365,199.8,765,122.7,617,107,25.8,56.6,5.29,19.1,2.81,5.01,0.513,2.83,0.37,5.87,103,20.55,7.52,155.1
FRI_tivf_5150,15320,161,12100,375,114.6,231,378,1478,220,1056,203,60,132.9,15.2,79.1,14.3,33.8,4.23,26.5,3.38,6.52,43.1,12.01,1.29,0.783
FRI_tivf_5220,6530,22.28,4657,552,121.2,397,37.1,209,47.8,279,88.1,36,87.8,13.37,87.2,19.8,62.2,9.75,74.4,13.64,7.56,22.4,5.16,0.576,0.737
FRI_tivf_5248,25800,164,10960,6150,187.2,1144,117.3,818,208.5,1469,729,143.2,961,174.6,1172,242.2,689,95.6,604,79.4,13.73,83,15.09,11.82,30.22
FRI_tivf_5292,9010,74.2,5250,4540,180,1358,41.2,295.4,83.9,621,351,117.1,472,96.1,749,158.9,467,66.5,402,47.7,12.69,67,11.63,2.295,46.6
FRI_tivf_5342,7040,20.02,22400,3240,300,556,708,1965,253.8,1156,307,68.9,360,69.4,521,113.2,343,50,333,43.4,20.9,124,6.02,3.347,1.041
FRI_tivf_4336,14500,62,11200,1430,99.1,369,2330,4800,510,1900,238,84.5,174,27.1,207,47.6,151,24.2,166.8,24.8,5.98,95,12.01,79,5.4
FRI_tivf_5358,8880,40.61,5120,722,120.1,228.3,45.3,324,79.3,502,146.8,45.1,123.7,18.42,119,24.6,70,11.42,75.8,10.82,7.85,61,10.49,4.05,16.3
FRI_tivf_5581,15600,91,21200,488,68.4,115.6,14.7,103,25.4,164,70.3,21.3,79.7,13.54,85.1,18.7,52.1,7.87,55.8,9.27,5.89,326,35.5,0.74,0.83
FRI_tivf_5585,4450,9,158000,60,6.3,34.5,76,177,18.8,76,16.7,9.3,17,2.39,14,2.47,5.8,0.76,5.9,0.82,0.6,331,18.11,6.3,3.2
FRI_tivf_5665,9950,19.82,5650,293.7,52,230.4,23.4,166.2,35.7,208.5,58.7,40.8,53.9,8.76,53.3,10.78,30.4,4.46,32,4.92,3.03,318,36,0.911,2.62
FRI_tivf_5699,24800,24.3,37700,1017,63.1,332,6.64,31.2,6.83,47.5,27.7,18.2,59.7,16.4,153.3,36.9,118.6,17.74,116.7,15.9,5.22,123,6.33,0.074,0.943
FRI_tivf_5715,15300,40.2,23000,2053,200,523,234,1214,234,1332,391,114,362,55.8,361,70.3,204,28.3,168.5,24.4,14.48,96,8.68,2.5,25.8
FRI_tivf_5737,17200,23.67,28200,1219,37.8,899,9.3,80,26.9,223,133.5,30.8,193.4,38.2,254,46.6,107.3,11.84,70.5,8.71,6.78,291,3.59,0.075,0.891
FRI_tivf_5758,10570,25.03,9520,1329,221.7,1274,195.9,983,163,774,206.8,88.8,175.6,28.8,198.9,41.1,131,20.73,162.9,23.5,12.22,167,9.347,14.13,31.4
FRI_tivf_5815,7820,18.6,4640,1520,140.3,224,81,392,71.1,375,122.7,49.4,167,32.1,256,55.6,171,24.3,160,22.2,10.26,32.2,9.874,10.3,10.82
FRI_tivf_5957,16200,50.3,1186,161.4,252.4,52.4,345.8,893,96.1,367,48.8,90.5,29.5,3.83,20.8,4.18,12.93,2.32,17.9,2.56,10.8,5.69,6.862,19.7,30.53
FRI_tivf_4422,50000,450,4850,1321,142.7,348,66.5,335,61.4,349,113.1,44.6,148.8,29.5,215.5,47.6,155.5,25.83,187.9,29.3,8.95,197,16.47,0.147,2.427
FRI_tivf_5994,8810,44,5590,526,112.7,148.6,56.7,287,54.1,317,83.8,41.6,80.9,12.16,75.5,17,55.6,9.3,69.8,12.32,7.01,49.6,5.133,0.73,4.78
FRI_tivf_6006,12340,30.7,9550,1713,1047,136,464,1440,186.7,881,228.6,58.3,225.2,39.3,270.9,56.8,169.5,25.41,173,22.63,39,63,9.77,84,48
FRI_tivf_6011,63400,369,10690,664,20.2,893,1.87,7.7,1.1,8.1,11.7,16.1,20.9,7.2,81.7,23.8,93.1,19.8,182,33.8,2.81,496,31.98,0.109,0.245
FRI_tivf_4426,9240,23.89,5000,1003,73.6,887,15.9,112.3,29.9,194.2,85.3,28.5,106.2,20.3,147.6,33.5,105.2,16.98,121.7,17.41,4.98,29.6,5.995,0.0271,1.298
FRI_tivf_4427,14070,138.7,17170,1193,83.8,1381,91,522,114.8,714,258.4,89,271,41.9,254.8,46.4,110.2,12.56,64.4,7.63,7.14,167,9.42,0.94,3.9
FUN_tif_3443,10140,8.74,7690,4320,118,2125,106.3,633,143.8,938,436,128.8,544,97.5,697,143.8,465,72.7,507,74.3,17.46,447,38.16,88.1,173.6
FUN_tif_3508,6950,34.22,10040,3680,520,999,2960,10430,1464,6220,1071,189.9,805,115.5,714,133.8,371,55,351,42.7,41.2,1.21,7.546,191,25.33
FUN_tif_3522,6890,37.3,10160,3510,576,1231,2482,7560,1054,4410,881,140.8,697,102.9,644,123.8,373,53.1,333,45,40.7,14.1,13.35,215.5,30.4
FUN_tif_3688,5280,7.94,9210,1740,210.2,266.9,879,2950,417,1888,403,67,334,51.8,317,63.3,181,26.1,183.1,26.2,35.18,60,15.78,136.6,55.4
FUN_tif_3708,4970,26.43,6270,1673,518,2017,1354,4020,537,2245,425,162.3,332,45.5,286,56.6,171.3,25.78,194.1,30.4,46.2,14.6,48.73,787,328
FUN_tif_3766,7470,14.02,8740,1273,408,3240,478,1687,240,1114,268,105.5,229,33.6,214,44.2,133.5,21.2,151.5,24.4,36.1,72.7,41.68,311,235
FUN_tif_3780,11240,25.4,17670,10650,752,1301,2310,10310,1950,11090,3110,234,2740,431,2760,479,1209,148.5,802,83.4,53.6,122,141.1,177.9,40
FUN_tif_3781,5100,21.23,6740,3920,346,3020,1038,4350,674,3120,691,134.3,583,96.7,640,131.2,426,66.1,444,60.7,48,2.4,19.87,496,92.2
FUN_tif_4041,37800,22.1,12800,1760,650,351,810,1920,231,1030,237,55.5,241,45.8,312,65.8,196,30.5,213,28.9,30.5,320,35,137,29.7
FUN_tif_3487,11700,7.14,6180,1616,338,2367,5.68,47.8,13.88,112,85.4,19.4,127,29,223,51.3,181.5,29.7,215.8,25.92,18.73,179,27.881,2.546,265.6
FUN_tif_3600,7600,2.64,2600,47.4,47.5,594,2.69,18,6.57,53.2,12.6,2.48,7.3,1.11,8.08,1.42,5.2,0.92,6.46,1.12,2.48,19.8,3.13,0.604,3.81
FUN_tif_4122,7220,4.34,6430,253.1,857,2793,13.9,83.1,15.78,83.2,26.4,22.09,30.8,5.42,41.3,8.37,24.9,3.58,21.3,2.61,23.37,70.2,17.26,5.65,16.9
FUN_tif_4294,5060,52.9,5750,1120,499,855,2040,4680,466,1719,272,84.8,219,30.4,199,39.3,119.5,18.69,138.1,20.37,40,12.6,12.32,265,45.1
FUN_tif_2988,9010,28.85,9190,3980,634,3160,1529,5600,907,4590,1049,70.2,833,123.9,846,156.9,418,57.1,347,45.5,31.5,87.2,29.998,692,167.2
FUN_tif_3244,10350,27.2,18960,14110,747,1180,2530,11800,2275,12680,3830,289,3490,548,3590,628,1687,199.1,1069,110.5,59.8,1.36,7.857,174.3,23.02
FUN_tif_3343,10450,130,12560,4872,522,1749,2014,7470,1145,5080,1053,143.2,869,130.8,881,172.3,517.2,76.7,500,64.8,44.6,46.5,14.05,214.6,36.5
FUN_tif_3421,5400,30.75,6720,4540,483,2116,887,5020,946,4750,1097,187.2,905,135.1,858,166,491,74.2,497,69.4,59.8,2.24,14.079,178.7,74.9
FUN_tivf_6123,365000,2480,361000,309,375,492,32.6,154,27.4,164,51.7,20.9,54.7,8.08,51.7,10.74,30,4.36,29.7,4.42,16.5,643,96.1,2.72,3.81
FUN_tivf_6718,6750,27.63,4540,168.6,114.8,224.8,152.2,467,55.3,211.8,33.8,28.86,26.4,3.8,24.5,5.11,16.42,2.77,19.5,3.69,5.31,44.2,3.498,9.11,8.77
FUN_tivf_6724,12540,210,11610,1575,410.7,305.5,1136,3001,372.9,1780,391,92.5,337.9,51.1,320.9,61.8,172.9,23.6,149,19.74,31.81,209,18.71,196.5,44
FUN_tivf_6852,7940,34.9,10650,2195,416.1,590,1643,5380,690,2674,493,154.3,401,58.6,386,78.2,232.7,36.3,253.2,34.7,38.78,104,17.25,202.7,39.69
FUN_tivf_6896,7380,60.4,7470,1845,417.6,778,1074,3590,490,2229,477,143.5,411,59.2,363.5,69.6,190.6,26.35,163.1,20.33,33.25,89,15.61,99.6,22.58
FUN_tivf_6919,8430,145,19300,562,505,449,601,1610,177,661,116.1,73.2,92.5,14.1,91.1,18.49,57,8.82,65.3,9.81,13.59,480,9.07,1.381,0.533
FUN_tivf_6957,7430,25.89,7810,466,257,293,842,1785,163.1,592,97.2,50.4,80.1,11.12,73.1,15.71,48.9,7.62,57,10.03,19.57,56.8,6.926,100.1,23.2
FUN_tivf_7354,12420,7.67,28700,2161,420,2888,3360,7570,680,2096,322,41.1,253.1,40,280.6,63.8,223.8,39.8,327.4,54.8,53.6,1200,66,294.8,172.2
FUN_tivf_7367,3870,14.5,131500,155.5,183.2,86.5,234.8,524,60.1,237,41.1,15.37,33.3,5.16,30.2,6.31,16.4,2.51,16.75,2.27,6.05,300,6.47,12.37,4.04
FUN_tivf_7377,23200,244,13400,491,562,229,948,2053,207.9,769,125.5,52.8,101.1,14.15,86,17.57,51.9,7.07,51,7.29,23.7,150,14.63,66.2,29.4
FUN_tivf_7432,64000,561,53000,310,165.2,692,477,798,72.9,263,52.8,33,45.4,7.41,45.9,9.92,29.4,4.41,33.5,5.56,4.13,240,36.1,2.04,1.263
FUN_tivf_6126,10230,22.4,4990,600,63.7,2070,16.92,44.16,6.3,36.5,21.8,49.4,37.9,8.58,72.1,17.14,62.2,11.6,96.3,15.12,6.8,80,11.36,0.673,5.72
FUN_tivf_7451,8100,44.33,12000,1743,973,815,1954,5274,575,2059,354.9,191.2,291.6,44.8,294.4,60.8,177.4,27.27,188.9,26.51,58.4,107,15.98,362.9,51.15
FUN_tivf_7511,43000,122,58000,793,4990,1185,294.6,1150,192.1,916,231,43.2,198,30.2,182,32.6,84.3,10.4,56,6.26,166.7,226,22.5,48.13,22.1
FUN_tivf_7654,6460,17.3,258000,135.3,89,103.4,329,706,68.1,219,31.8,21.4,23.3,3.35,22.4,4.55,13.34,2,15.4,2.29,3.49,550,19.81,13.2,9.19
FUN_tivf_7767,14840,28.84,10530,1300,38,50,1.63,9.88,2.53,18.2,15.4,6.97,44,12.53,138.7,44.2,181,32,232,30.3,1.46,256,9.27,0.274,6.15
FUN_tivf_7780,7430,31.6,7620,654,357,461,589,1636,180.2,654,118.3,81.6,95.1,14.51,97.6,22.4,70.4,12.08,95.2,15.55,22.67,126,10.21,58.6,40.2
FUN_tivf_7830,8700,7.62,112700,154,220,375,5.99,30.7,6.7,42.3,19.4,3.9,19.8,4,26.6,5.8,18.4,2.64,19,2.45,6.6,325,40.54,0.669,5
FUN_tivf_8055,7760,35.2,11200,3830,366,1094,924,4500,845,4190,967,229,807,121.5,789,143.3,393,54,340,41,32,26.3,13.979,82.7,81.7
FUN_tivf_8076,8440,138,8460,1511,948,1246,1913,4806,518,1939,328.5,161.9,260.7,40.1,252.1,52.4,160.8,26.14,197,30.33,40.4,56.3,18.09,196.9,75.8
FUN_tivf_6334,12000,13.3,38500,1036,272,177.9,572,1400,168.5,704,159.6,102.7,148.9,26.9,186.5,38.5,121.7,18.51,138.4,20.5,15.09,378,7.96,4.36,9.31
FUN_tivf_6391,29100,396,18630,1758,135.4,445,680,2630,377.9,1720,389,52.7,312,52.3,344,67.5,186.7,25.57,157.7,19.63,7.57,363,22.57,0.97,1.81
FUN_tivf_6266,17700,33,14440,12400,676,922,1219,6230,1258,7440,2120,449,2020,359,2580,502,1347,182.4,1014,109.5,51,970,59.5,53.1,10.4
FUN_tivf_6395,8300,42.5,23280,2479,315.1,1177,778,4067,764,4060,1011,245,788,103.7,570,97,247.2,33.1,207.8,25.92,29.81,177,13.66,102,49.9
FUN_tivf_6537,7220,18.78,8400,5040,456,1631,1296,5370,841,4120,928,146.5,879,146,938,191.3,544,83.4,542,71.8,39.8,89,49.93,452,218.5
FUN_tivf_6891,19100,24.61,18100,4010,201.3,823,521,2880,547,3050,903,103,805,124.8,778,146.3,391,51.2,296,37.5,13.81,418,26.3,1.115,3.142
FUN_tivf_6911,35400,567,22100,2024,140.1,705,82.4,561,130.8,867,315.1,96.9,361,60.4,401,79.8,232.2,32.1,213,30,12.81,623,64.6,0.086,0.365
FUN_tivf_7021,9080,18.5,20700,2480,432,955,1019,3670,506,1960,402,103.5,357,59.3,398,83.7,267,43.4,314,44.9,29.1,110,49.96,323,178.2
FUN_tivf_7139,7200,3.8,148000,249,910,1010,7.1,58,16.5,124,49,14.8,54,7.4,46,8.5,23.4,3.5,19.9,2.4,20.8,283,15.31,14.1,21.2
FUN_tivf_7202,17500,261,14080,2881,582,2190,2688,8400,1047,4150,704,146.6,565,80.6,491,99.1,298.2,45.7,321.7,45.2,47.4,47,45.44,424,41.2
FUN_tivf_7322,7960,19.28,6980,1263,133.5,521,175.3,926,168,922,258.3,67.8,251.8,38.5,238.6,45.8,125.9,16.96,111.1,14.47,10.35,409,11.97,1.166,4.52
FUN_tivf_7496,9620,45.2,8150,1229,436,333,913,2630,318,1270,251,88.1,207,33.5,216,44.3,130,20.3,143,19.6,19.8,182,8.03,52.7,15.34
FUN_tivf_7546,7600,17.19,66200,1980,113,1440,120,672,138.8,809,299,51,305,58.7,382,79.9,235,34.2,227,31.7,6.18,217,5.557,0.905,9.39
FUN_tivf_6309,14200,330,15360,1187,1200,531,545,1936,248.4,1079,220.7,59.7,185.7,28.2,186.1,37.7,115.3,16.91,117.7,16,108.6,92,51.2,51.8,13.04
FUN_tivf_7712,36100,253,30200,2960,247,1577,437,2490,469,2460,690,74.2,578,93,584,112,304,42.3,245,29.5,15.9,471,72.6,4.2,3.82
FUN_tivf_7720,9270,23.71,15470,14210,721,1900,3640,16110,2650,13180,3210,357,2730,461,3020,587,1559,213,1188,133.1,47.4,9.8,5.925,102.1,19.46
FUN_tivf_7836,8290,38.8,10870,4150,429,2480,1747,6760,942,3547,604,124.7,503.6,80.9,566,128.8,423,69.6,478,62.3,40.45,185,27.15,173.2,32.2
FUN_tivf_6384,7460,37.22,9460,1186,394.3,419,1226,3524,396.8,1534,273,73.7,218,31.7,198,41.18,120.2,17.34,121,17.41,28.28,48,8.82,119,23.9
FUN_tivf_6538,15300,16.04,13600,1920,181,1000,122.2,716,146.3,817,317,185.2,331,57.3,361,68,193,28.4,195,26.2,27.2,44.5,11.06,31.8,42.3
FUN_tivf_6543,10770,16.24,7990,1007,226,896,82.8,501,101.5,590,178.2,105.2,176,27.8,186.5,37.2,108,15.73,113.1,16.87,13.3,114,11.45,0.197,0.816
FUN_tivf_6592,12070,13.35,15900,980,274,180.1,200.5,604,89.3,463,148,41.9,172.2,29,191.1,39.7,108.9,15.38,97.2,13.33,20.76,208,12.29,3.53,2.82
FUN_tivf_6637,12410,37.7,6420,970,102.1,182.2,149.4,565,83.1,389.7,105.1,63.2,103.8,18.76,136.7,30.8,107.7,18.88,148.9,24.53,5.46,235,14.13,7.77,11.72
GAT_tif_4524,8460,88.3,2860,1345,149.8,992,104.7,505,110.4,683,213.2,75.5,235.1,36.1,242.1,48.5,141.7,20.56,141.5,17.5,11.06,56,9.09,1.18,5.37
GAT_tif_5379,9600,101.7,9100,1048,79.5,119.3,116.3,672,155.3,1004,298,80.6,288.4,39.5,235.8,42.07,108.1,13.73,82.2,10.51,7.98,45,15.324,1.076,5.27
GAT_tif_5473,15630,40.8,11290,985,150.8,128.2,108.5,385,69,407,137.5,40.6,170,28.9,201.2,39.4,106.7,14.79,90.2,11.54,8.64,2350,61.7,3.13,1.391
GAT_tif_4675,9950,11.66,5820,238.5,67.1,314,1.75,9.96,2.19,14,7.52,2.02,12.4,2.88,27.3,7.78,30.8,6.01,48.5,7.02,4.27,9.6,6.39,2.206,6.5
GAT_tif_4694,10830,20.9,9630,190.9,65.6,421,0.344,1.78,0.44,3.08,2.84,1.04,8.96,2.58,24.7,7.17,29.4,5.59,47.1,7.79,4.84,180,8.84,0.0431,0.107
GAT_tif_4746,7150,42.7,3595,237.2,64.3,750,0.63,4.35,1.51,11.95,7.76,3.21,13.56,3.24,31.1,8.57,34.9,7.07,56.5,8.01,4.1,20,5.93,0.0202,0.55
GAT_tif_4778,12000,51.3,8470,494,160.9,335,39,262,62.7,369,123,44.8,116,16.6,93,17,44.3,6.23,50.9,8,11.9,113.5,19.76,31.3,171.8
GAT_tif_5080,6670,56.58,7820,989,296.9,826,1519,3744,447.4,1912,373,65.8,268.1,35.21,206,37.51,98.9,13.41,85.2,11.14,22.14,104.5,46.28,774,205.5
GAT_tif_5537,17800,40,20600,674,119.2,438,19.8,119.3,29,204.5,88.3,28.3,108.6,17.73,126.6,26.1,77.1,11.21,75.4,11.26,8.33,44.6,18.21,8.82,61.6
GAT_tif_4696,6510,66.1,7130,1111,452,1697,1906,5175,583,1988,312.5,84.1,234.1,31.08,195.7,37.7,111.3,17.27,130,19.95,36.52,69,65.97,934,182.5
GAT_tif_4817,7230,60.3,3760,478,99.3,316,1.51,12.7,4.24,36.2,31.1,11.7,52.6,11.8,89.6,19,56.9,8.42,53.4,7.24,8.39,27.4,4.916,0.089,2.421
GAT_tivf_8097,7950,34.8,16100,3254,290.7,1019,1368,5690,891,4060,769,88.3,614,93.6,581,115.9,326,50.9,336,50.2,42.3,66.6,25.61,142.7,116.7
GAT_tivf_9820,13600,59,14040,821,298,216.2,432.2,1277,166.4,757,183.1,30.5,166.3,25.26,159.6,30.61,87,12.2,78.9,10.77,20.62,48.6,21.1,19.68,6.44
GAT_tivf_9926,5400,6.3,93000,390,37.8,158,25.6,158,32.4,168,52.1,16.6,50.1,8.6,60,13.2,43.7,7.6,55.5,8.2,2.74,38.4,9.7,1.06,2
GAT_tivf_8508,26400,73.8,26000,4100,517,1508,2260,7980,1138,4900,953,101.1,786,120,752,149,421,62.3,394,51.5,43.2,104,42.37,171.7,66.3
GAT_tivf_8533,25150,37,6660,440,275.7,718,157,1437,298.9,1407,235,75.9,186.5,23.83,121.7,18.37,37,4.46,23.2,2.15,6.91,62,15.25,0.433,36.3
GAT_tivf_8550,3180000,20600,1940000,1570,272,702,1950,2710,285,1230,289,138,307,39,252,58,177,23.9,184,35.2,6.9,567,3450,11.1,79
GAT_tivf_8715,14900,96,19100,7520,520,5450,3040,9780,1247,5120,1050,148.4,944,155.6,1020,222.7,733,115.1,827,128.3,58,57,83.83,560,366.9
GAT_tivf_8722,130000,265,140000,622,507,410,204,743,136,711,194,73.5,156,22.4,140,23,67,8.3,50,5.15,24.1,430,143,96,31.2
GAT_tivf_8747,9390,20.06,13730,6400,660,1590,2727,10660,1661,7390,1451,128.7,1137,175,1115,225,653,93.1,575,69.9,47.5,24.1,10.31,162.7,22.06
GAT_tivf_8779,8170,13.61,11560,5550,318,3230,1568,7590,1255,6080,1459,142,1152,175.3,1053,202.7,542,76.8,480,58.8,46.4,610,92.7,180.6,115.9
GAT_tivf_8826,6460,118.2,186000,35.4,29.3,628,1138,1581,125.9,379,28.9,7.35,14.3,1.38,7.32,1.33,3.26,0.319,1.54,0.166,1.527,260,171.7,0.392,1.61
GAT_tivf_8251,13510,12.47,6810,25.3,136,473,9.2,38.6,5.8,24.7,5.6,7.6,4.44,0.67,4.39,0.8,2.19,0.34,1.99,0.289,2.89,38,3.87,0.519,2.39
GAT_tivf_9047,1060000,112,454000,8480,860,1256,2332,10440,1743,8270,1838,173.2,1519,256,1532,317,906,124,764,102.3,58,251,90.7,125.6,19.8
GAT_tivf_9383,24900,9.25,30600,59.5,351,1359,7.76,46.6,10.01,51.2,14.6,4.21,13.7,2.12,12.2,2.07,5.52,0.81,6.09,0.82,14.73,849,10.02,23.9,9.41
GAT_tivf_9836,9430,11.07,14270,4969,387.2,3791,1188,5750,1020,5000,1227,117.7,1003,146.8,890,171.2,462.9,69.9,457.4,59.1,49.8,75,36.81,290.1,218.4
GAT_tivf_9873,13000,9.86,23800,5368,498.4,19650,1721,7040,1037,4402,1096,83.5,883,136.3,849,164.9,500,84.9,620,82.9,89,73.3,44.66,221.4,113.1
GAT_tivf_8437,10190,21.86,14460,3992,564,1322,2648,8980,1233,4930,872,103.3,701,107.5,692,136.8,406.3,60.3,395.7,53.4,39.67,29.9,9.59,166.8,25.7
GAT_tivf_8486,45500,615,75600,738,828,290.7,764,1713,190.6,818,162.3,49.9,140.6,20.05,134.3,27.7,78.7,11.59,79.5,12.32,72.6,277,41.81,64.5,51.3
GAT_tivf_8638,49300,286,90700,120,64,203.5,15,52.1,9,48.3,14.7,1.41,15.4,2.74,22.1,4.66,13.6,2.11,12.8,1.74,5.38,190,66.99,0.269,0.138
GAT_tivf_8858,4120,26.3,39200,1260,225,933,599,2140,313,1370,302,70,245,36.7,229,46.9,137,20.4,141,19.6,18.6,324,19.69,51.4,29.7
GAT_tivf_9240,21600,261,18800,2159,464,1465,2350,6970,785,2780,407,58.6,321,48,326,68.9,226,37.5,284,39.3,34.8,37.5,37.6,161.6,24
GAT_tivf_9286,11080,5.15,12650,84,30.6,130.5,1.14,4.64,1.14,9.7,5.4,1.48,7.8,1.91,15.7,3.23,10.9,1.72,11.6,1.41,2.84,156,69.3,0.652,1.98
GUC_tif_7376,8460,88.3,2860,1345,149.8,992,104.7,505,110.4,683,213.2,75.5,235.1,36.1,242.1,48.5,141.7,20.56,141.5,17.5,11.06,56,9.09,1.18,5.37
GUC_tif_7787,9600,101.7,9100,1048,79.5,119.3,116.3,672,155.3,1004,298,80.6,288.4,39.5,235.8,42.07,108.1,13.73,82.2,10.51,7.98,45,15.324,1.076,5.27
GUC_tif_7848,15630,40.8,11290,985,150.8,128.2,108.5,385,69,407,137.5,40.6,170,28.9,201.2,39.4,106.7,14.79,90.2,11.54,8.64,2350,61.7,3.13,1.391
GUC_tif_7855,17400,24.4,13300,1159,252.2,178.5,266.1,712,101.5,521,148.8,46.3,187.4,30.8,212.7,43.3,121.6,17.17,116.4,15.89,14.49,162,6.292,121,63.3
GUC_tif_7877,8190,32.6,5510,2110,149,1279,35,201,50.3,341,176,62.1,249,47.9,339,70,213,31,234,31.2,10.59,10.9,8.5,11.62,77.1
