Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
BUR_tivf_4648,9000,80,11970,1596,387.5,631,1329,4020,526,2344,458,136.8,360,50.6,295,58.6,159.7,22.48,147.4,19.51,20.26,35.5,14.12,152.6,41.7
BUR_tivf_4287,8250,30.87,16400,349.1,70.6,72.2,21.9,132.5,33.9,245.3,87.8,59.6,95.2,12.79,70.9,12.53,29,3.61,19,2.88,3.07,51.2,4.07,0.243,1.003
BUR_tivf_4736,8710,26.66,2320,106.6,33.2,55.2,1.1,7.8,2.05,15.6,7.2,3.08,10.5,2.12,15.1,3.8,12.32,2.08,16.3,2.71,1.938,102,4.153,0.0186,0.039
BUR_tivf_4832,9160,71.8,20800,105.5,103.4,85.5,18,78.4,14.7,82.3,22.5,6.52,24.4,3.97,24,4.4,11.62,1.58,9.05,1.28,9.37,2160,43.9,0.395,0.444
BUR_tivf_4960,5210,45.9,1603,384,82.7,85.5,1.55,8.12,2.41,22.6,14.7,17.04,26.2,5.95,55.2,14.81,50.9,9.05,69.8,10.31,8.85,16.1,9.45,0.0026,0.0071
BUR_tivf_5104,23140,87.9,11270,1734,736,202.2,640,1840,264,1281,304,88.6,274.1,42.1,281.2,56.8,169,27.2,189,26.33,31.42,211,17.46,30.6,31.3
BUR_tivf_5145,7960,18.5,10550,3330,284.1,1760,805,3110,474,2268,587,98.5,523,81.4,533,108.4,326,54.2,410,63.5,59.4,78,16.32,240.3,295
BUR_tivf_5468,9920,36.7,4900,1870,286,328,225.3,1287,302,2030,618,185.4,605,72.1,401,73.4,162.2,18.6,108.6,14.1,16.03,90,3.924,4.07,16.8
BUR_tivf_5555,4950,41.7,3970,1349,86.8,323.3,110.6,459,86.5,518,173,44,185.4,33,236,51.3,151.1,23.12,145.7,20.02,6.56,610,4.922,3.43,4.27
BUR_tivf_5578,9610,39.7,4300,2839,240.9,1757,404.7,1620,260.2,1333,381,116,430.3,71.4,485.8,104.6,295,41.8,256.2,36.54,18.43,750,9.85,14.61,10.35
BUR_tivf_5640,920000,490,3300000,4470,600,177,48.1,531,179,1340,614,37.8,737,113,916,182,484,59.6,416,48.3,74,1240,105.5,5.57,4.34
BUR_tivf_5642,14540,14.71,1970,1691,849,432,839,2690,375,1736,362,39.9,322,47.4,308,65,181.2,25.1,164.5,22.3,47.4,107,56.9,269.2,126.5
COR_tif_1134,8570,32.81,6570,453,65.7,154,0.7,8.28,4.65,59,47.9,2.34,80.9,14.21,99.8,20.03,58.6,7.93,50.9,6.87,10.15,13.9,3.967,0.1258,0.1167
COR_tif_2069,4440,31.94,3984,2169,207.2,401,694,2870,442,2021,433,209.3,355,53.6,357,73.6,219.4,35.2,243.3,33.7,12.75,1.36,12.401,13.15,108.3
COR_tif_2132,7410,33.6,5170,30.15,25.8,98.7,1.68,6.85,1.29,6.97,2.06,1.68,2.48,0.51,3.71,0.975,3.56,0.641,6.28,1.09,1.396,2.74,2.479,0.0543,0.239
COR_tif_2241,21580,17.84,12530,10170,1720,3930,3810,13130,1912,9110,2159,195.2,2052,328,2105,407,1078,146.2,860,103.2,108,15.2,579,3235,606
COR_tif_2306,7390,60,9230,810,339,135.4,112.4,534,108.4,661,191,55.6,179,25.9,167,32.1,92.6,13.29,85,11.77,17.67,133,7.27,1.359,2.94
COR_tif_2451,7200,39.2,1530,506,207,118.9,151,741,161,991,378,107.4,286,27.7,117,15.3,36.9,5.32,34,5.34,11.26,28.9,20.24,17.7,145.6
COR_tif_2465,5480,16.56,5730,677,140.8,441,185.6,530,73.8,363,101.6,37.6,111.5,18.2,123.5,23.5,73.3,10.76,71.1,10.09,8.63,54.6,5.46,7.07,3.59
COR_tif_2654,5040,29.22,3850,930,210.3,199.8,304,914,121.9,570,155.3,48.6,150.2,23.8,169.6,33.1,104.4,15.65,105,15.38,12.89,7.4,5.8,7.11,5.7
COR_tif_2871,5530,42.5,23510,246,84.3,152.1,90.1,395,71,331,73,97.7,55.6,7.35,45.9,8.66,23.4,3.53,25.4,3.65,4.46,119,13.59,0.377,3.27
COR_tif_2887,7990,26.31,4450,82.2,353,762,2.23,9.28,1.78,10.04,3.58,6.09,5.32,1.21,9.59,2.36,9.08,1.63,14.6,2.5,15.4,68.2,15.03,0.674,12
COR_tif_2923,9030,20.07,4370,231.2,44.6,354,0.568,3.69,0.941,8.33,7.4,10.97,13.2,3.82,34.1,8.5,31,5.56,46.3,6.21,3.07,5.75,5.046,0.0032,0.046
COR_tif_1250,6230,73.8,3155,1250,126.6,349,87.6,511,118.8,764,275.3,82,268,39.5,250.7,48.1,132.8,18.52,116.6,15.29,8.97,5.68,4.906,2.52,8.63
