ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
,,189.4,,,,,,,,1006.2,1229.1,202.2,,178.8,,
,,189.5,,,,,,,,1006.5,1714.9,202.8,,179.2,,
,,189.6,,,,,,,,1008.8,,203.2,,179.2,,
,,190.5,,,,,,,,1009.1,,204.5,,179.3,,
,,192.1,,,,,,,,1009.6,,205.9,,179.5,,
,,192.9,,,,,,,,1010.0,,209.1,,179.5,,
,,193.0,,,,,,,,1010.1,,209.3,,179.8,,
,,193.1,,,,,,,,1010.5,,213.0,,179.8,,
,,197.6,,,,,,,,1011.3,,214.6,,179.8,,
,,198.0,,,,,,,,1011.3,,224.0,,180.8,,
,,198.3,,,,,,,,1011.9,,236.6,,180.9,,
,,198.8,,,,,,,,1012.1,,238.2,,180.9,,
,,199.3,,,,,,,,1012.3,,251.2,,181.2,,
,,1032.8,,,,,,,,1012.8,,253.7,,182.1,,
,,,,,,,,,,1018.0,,340.4,,182.2,,
,,,,,,,,,,1019.1,,379.0,,182.2,,
,,,,,,,,,,1019.6,,433.8,,182.6,,
,,,,,,,,,,1020.8,,782.0,,182.8,,
,,,,,,,,,,1021.4,,811.9,,182.8,,
,,,,,,,,,,1021.4,,904.8,,182.8,,
,,,,,,,,,,1024.1,,928.3,,183.2,,
,,,,,,,,,,1024.7,,937.1,,183.4,,
,,,,,,,,,,1026.1,,949.1,,183.4,,
,,,,,,,,,,1026.2,,956.5,,183.9,,
,,,,,,,,,,1027.3,,963.8,,184.2,,
,,,,,,,,,,1029.9,,976.3,,184.4,,
,,,,,,,,,,1030.2,,983.9,,184.9,,
,,,,,,,,,,1030.3,,993.4,,185.0,,
,,,,,,,,,,1031.2,,1005.2,,185.2,,
,,,,,,,,,,1034.6,,1173.8,,185.2,,
,,,,,,,,,,1034.8,,1250.1,,185.3,,
,,,,,,,,,,1037.4,,1250.9,,185.3,,
,,,,,,,,,,1043.7,,1423.3,,185.9,,
,,,,,,,,,,1044.1,,1427.0,,186.0,,
,,,,,,,,,,1048.5,,,,186.7,,
,,,,,,,,,,1048.6,,,,187.0,,
,,,,,,,,,,1053.3,,,,187.2,,
,,,,,,,,,,1054.4,,,,187.3,,
,,,,,,,,,,1064.1,,,,187.4,,
,,,,,,,,,,1064.5,,,,187.6,,
,,,,,,,,,,1075.5,,,,187.9,,
,,,,,,,,,,1082.7,,,,188.3,,
,,,,,,,,,,1084.3,,,,188.4,,
,,,,,,,,,,1088.8,,,,189.4,,
,,,,,,,,,,1095.6,,,,189.5,,
,,,,,,,,,,1111.3,,,,189.9,,
,,,,,,,,,,1122.0,,,,190.2,,
,,,,,,,,,,1123.9,,,,190.4,,
,,,,,,,,,,1126.4,,,,191.4,,
,,,,,,,,,,1135.2,,,,191.5,,
,,,,,,,,,,1135.6,,,,191.7,,
,,,,,,,,,,1136.0,,,,191.7,,
,,,,,,,,,,1137.2,,,,191.8,,
,,,,,,,,,,1149.4,,,,192.1,,
,,,,,,,,,,1153.5,,,,193.0,,
,,,,,,,,,,1156.1,,,,193.2,,
,,,,,,,,,,1157.9,,,,194.1,,
,,,,,,,,,,1159.2,,,,194.3,,
,,,,,,,,,,1167.3,,,,195.0,,
,,,,,,,,,,1176.9,,,,198.3,,
,,,,,,,,,,1181.6,,,,201.7,,
,,,,,,,,,,1182.3,,,,203.7,,
,,,,,,,,,,1184.8,,,,208.4,,
,,,,,,,,,,1191.0,,,,210.1,,
,,,,,,,,,,1192.0,,,,213.2,,
,,,,,,,,,,1200.3,,,,215.2,,
,,,,,,,,,,1202.7,,,,218.4,,
,,,,,,,,,,1204.6,,,,226.8,,
,,,,,,,,,,1208.5,,,,1302.9,,
,,,,,,,,,,1212.8,,,,,,
,,,,,,,,,,1224.1,,,,,,
,,,,,,,,,,1231.5,,,,,,
,,,,,,,,,,1249.5,,,,,,
,,,,,,,,,,1253.2,,,,,,
,,,,,,,,,,1253.9,,,,,,
,,,,,,,,,,1255.1,,,,,,
,,,,,,,,,,1257.9,,,,,,
,,,,,,,,,,1267.9,,,,,,
,,,,,,,,,,1269.3,,,,,,
